amfi_code,scheme_name,maximum_drawdown
125497,HDFC Top 100 Fund - Direct Plan - Growth,-33.5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-33.15
119094,Axis Midcap Fund - Regular - Growth,-32.38
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-32.22
118634,Nippon India Small Cap Fund - Regular - Growth,-30.87
119092,Axis Bluechip Fund - Regular - Growth,-27.54
149323,DSP Midcap Fund - Regular - Growth,-26.99
118635,Nippon India ETF Nifty 50 BeES,-26.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,-26.59
120503,ICICI Pru Bluechip Fund - Regular - Growth,-25.91
119599,SBI Small Cap Fund - Direct Plan - Growth,-24.78
119552,SBI Bluechip Fund - Direct Plan - Growth,-24.43
102885,UTI Nifty 50 Index Fund - Regular - Growth,-24.42
101207,ABSL Small Cap Fund - Regular - Growth,-23.61
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-22.62
120842,Kotak Emerging Equity Fund - Regular - Growth,-21.92
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-21.89
120505,ICICI Pru Midcap Fund - Regular - Growth,-21.84
119551,SBI Bluechip Fund - Regular Plan - Growth,-21.7
149322,DSP Top 100 Equity Fund - Regular - Growth,-21.7
120843,Kotak Flexicap Fund - Regular - Growth,-19.5
118633,Nippon India Large Cap Fund - Direct - Growth,-18.14
120841,Kotak Bluechip Fund - Regular - Growth,-17.86
100016,HDFC Top 100 Fund - Regular Plan - Growth,-17.41
119093,Axis Bluechip Fund - Direct - Growth,-17.4
148567,Mirae Asset Large Cap Fund - Regular - Growth,-17.07
149324,DSP Small Cap Fund - Regular - Growth,-17.01
118632,Nippon India Large Cap Fund - Regular - Growth,-16.07
101206,ABSL Frontline Equity Fund - Regular - Growth,-15.07
119095,Axis Small Cap Fund - Regular - Growth,-14.45
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-13.67
102886,UTI Mid Cap Fund - Regular - Growth,-13.43
119598,SBI Small Cap Fund - Regular Plan - Growth,-13.35
102887,UTI Flexi Cap Fund - Regular - Growth,-12.14
100025,HDFC Short Term Debt Fund - Regular - Growth,-6.01
120844,Kotak Liquid Fund - Regular - Growth,-3.81
101208,ABSL Liquid Fund - Regular - Growth,-3.66
120507,ICICI Pru Liquid Fund - Regular - Growth,-2.62
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-2.3
118636,Nippon India Gilt Securities Fund - Regular - Growth,-2.23
