investor_id,sip_transaction_count,avg_gap_days,continuity_status
INV000004,6,85.4,at-risk
INV000008,6,70.4,at-risk
INV000010,6,64.8,at-risk
INV000011,7,40.166666666666664,at-risk
INV000012,8,57.0,at-risk
INV000013,7,55.333333333333336,at-risk
INV000014,7,75.33333333333333,at-risk
INV000023,8,58.57142857142857,at-risk
INV000028,6,93.6,at-risk
INV000029,7,60.666666666666664,at-risk
INV000030,9,47.625,at-risk
INV000033,8,45.57142857142857,at-risk
INV000039,6,68.6,at-risk
INV000045,6,70.6,at-risk
INV000048,9,46.0,at-risk
INV000052,6,36.2,at-risk
INV000056,6,74.8,at-risk
INV000057,8,49.714285714285715,at-risk
INV000069,10,49.111111111111114,at-risk
INV000072,6,83.0,at-risk
INV000073,9,48.25,at-risk
INV000074,8,72.57142857142857,at-risk
INV000075,6,74.8,at-risk
INV000076,6,91.8,at-risk
INV000079,6,65.8,at-risk
INV000081,7,81.33333333333333,at-risk
INV000082,7,83.66666666666667,at-risk
INV000086,10,44.666666666666664,at-risk
INV000087,6,92.8,at-risk
INV000091,8,44.0,at-risk
INV000093,7,55.5,at-risk
INV000094,6,44.8,at-risk
INV000095,6,69.4,at-risk
INV000097,7,54.5,at-risk
INV000101,8,65.0,at-risk
INV000102,8,65.28571428571429,at-risk
INV000103,6,83.4,at-risk
INV000105,8,57.0,at-risk
INV000109,9,46.25,at-risk
INV000113,8,46.0,at-risk
INV000123,7,59.666666666666664,at-risk
INV000128,6,82.0,at-risk
INV000131,7,56.0,at-risk
INV000132,6,71.0,at-risk
INV000133,6,88.2,at-risk
INV000138,6,76.2,at-risk
INV000145,6,89.4,at-risk
INV000146,6,66.8,at-risk
INV000148,9,52.0,at-risk
INV000155,7,37.333333333333336,at-risk
INV000161,7,73.0,at-risk
INV000163,8,61.0,at-risk
INV000164,6,61.8,at-risk
INV000169,7,67.83333333333333,at-risk
INV000173,7,57.666666666666664,at-risk
INV000175,7,83.66666666666667,at-risk
INV000177,8,65.42857142857143,at-risk
INV000180,6,61.8,at-risk
INV000183,9,56.125,at-risk
INV000191,7,56.5,at-risk
INV000194,7,58.0,at-risk
INV000195,6,77.4,at-risk
INV000196,7,69.0,at-risk
INV000201,9,51.125,at-risk
INV000205,8,62.57142857142857,at-risk
INV000210,8,70.71428571428571,at-risk
INV000214,6,94.8,at-risk
INV000217,6,92.0,at-risk
INV000228,9,59.75,at-risk
INV000236,8,67.14285714285714,at-risk
INV000238,6,93.6,at-risk
INV000239,8,48.857142857142854,at-risk
INV000243,6,88.2,at-risk
INV000245,6,92.2,at-risk
INV000249,7,45.5,at-risk
INV000252,6,50.4,at-risk
INV000255,6,48.6,at-risk
INV000256,6,70.2,at-risk
INV000259,6,70.6,at-risk
INV000260,8,59.57142857142857,at-risk
INV000262,8,53.57142857142857,at-risk
INV000263,8,68.42857142857143,at-risk
INV000265,10,53.44444444444444,at-risk
INV000268,7,62.333333333333336,at-risk
INV000279,9,43.375,at-risk
INV000280,9,55.75,at-risk
INV000283,6,68.0,at-risk
INV000287,7,69.83333333333333,at-risk
INV000289,8,62.714285714285715,at-risk
INV000291,6,89.0,at-risk
INV000292,7,46.0,at-risk
INV000293,7,47.0,at-risk
INV000297,6,90.6,at-risk
INV000299,6,85.2,at-risk
INV000304,7,70.0,at-risk
INV000309,8,52.0,at-risk
INV000310,7,75.83333333333333,at-risk
INV000318,6,97.4,at-risk
INV000319,7,73.5,at-risk
INV000321,7,72.83333333333333,at-risk
INV000328,9,37.5,at-risk
INV000331,8,50.714285714285715,at-risk
INV000334,7,25.5,regular
INV000335,6,96.0,at-risk
INV000339,6,94.0,at-risk
INV000341,8,54.42857142857143,at-risk
INV000356,6,54.4,at-risk
INV000359,9,54.125,at-risk
INV000363,7,77.0,at-risk
INV000369,6,43.8,at-risk
INV000371,8,59.285714285714285,at-risk
INV000372,7,54.5,at-risk
INV000380,6,97.0,at-risk
INV000388,9,53.625,at-risk
INV000392,7,77.16666666666667,at-risk
INV000395,7,55.666666666666664,at-risk
INV000396,6,83.2,at-risk
INV000399,10,49.55555555555556,at-risk
INV000400,6,62.6,at-risk
INV000403,6,58.2,at-risk
INV000407,6,82.4,at-risk
INV000408,6,46.8,at-risk
INV000412,8,43.714285714285715,at-risk
INV000414,8,66.28571428571429,at-risk
INV000415,7,66.16666666666667,at-risk
INV000418,6,86.8,at-risk
INV000427,7,68.5,at-risk
INV000428,8,52.142857142857146,at-risk
INV000429,6,77.2,at-risk
INV000437,6,97.8,at-risk
INV000440,8,69.57142857142857,at-risk
INV000441,6,60.8,at-risk
INV000444,6,73.2,at-risk
INV000445,9,57.75,at-risk
INV000446,6,38.6,at-risk
INV000449,6,46.8,at-risk
INV000452,9,49.375,at-risk
INV000457,6,91.4,at-risk
INV000460,6,43.4,at-risk
INV000463,7,65.16666666666667,at-risk
INV000466,7,73.33333333333333,at-risk
INV000467,10,56.666666666666664,at-risk
INV000469,7,70.5,at-risk
INV000483,8,70.42857142857143,at-risk
INV000491,6,95.0,at-risk
INV000493,10,47.55555555555556,at-risk
INV000497,7,71.83333333333333,at-risk
INV000499,7,77.83333333333333,at-risk
INV000507,7,70.16666666666667,at-risk
INV000512,9,54.75,at-risk
INV000522,6,100.8,at-risk
INV000524,7,55.0,at-risk
INV000527,6,50.8,at-risk
INV000529,6,59.2,at-risk
INV000531,7,47.0,at-risk
INV000539,7,77.0,at-risk
INV000540,7,73.5,at-risk
INV000543,7,83.66666666666667,at-risk
INV000545,6,80.6,at-risk
INV000546,9,55.0,at-risk
INV000547,6,55.8,at-risk
INV000549,6,96.2,at-risk
INV000553,6,72.0,at-risk
INV000554,6,70.2,at-risk
INV000556,8,52.42857142857143,at-risk
INV000562,6,74.4,at-risk
INV000563,7,76.33333333333333,at-risk
INV000566,7,35.0,regular
INV000567,6,63.8,at-risk
INV000568,6,62.4,at-risk
INV000570,8,67.28571428571429,at-risk
INV000573,7,50.833333333333336,at-risk
INV000575,6,71.6,at-risk
INV000578,7,66.83333333333333,at-risk
INV000581,7,78.33333333333333,at-risk
INV000586,7,44.5,at-risk
INV000589,9,59.125,at-risk
INV000591,7,64.5,at-risk
INV000593,6,74.2,at-risk
INV000596,9,51.75,at-risk
INV000597,6,88.6,at-risk
INV000599,7,81.5,at-risk
INV000607,7,66.66666666666667,at-risk
INV000608,6,100.2,at-risk
INV000609,6,47.0,at-risk
INV000612,11,49.3,at-risk
INV000615,7,55.833333333333336,at-risk
INV000624,7,31.666666666666668,regular
INV000625,6,86.4,at-risk
INV000630,7,68.66666666666667,at-risk
INV000631,6,54.0,at-risk
INV000634,9,52.25,at-risk
INV000635,6,75.0,at-risk
INV000641,6,54.8,at-risk
INV000642,9,53.5,at-risk
INV000645,6,66.0,at-risk
INV000646,7,62.333333333333336,at-risk
INV000651,6,94.0,at-risk
INV000652,6,93.8,at-risk
INV000657,8,64.71428571428571,at-risk
INV000662,8,66.14285714285714,at-risk
INV000663,6,94.4,at-risk
INV000665,10,36.22222222222222,at-risk
INV000667,6,68.0,at-risk
INV000673,6,92.8,at-risk
INV000675,6,62.8,at-risk
INV000676,11,35.3,at-risk
INV000678,7,63.333333333333336,at-risk
INV000683,9,54.5,at-risk
INV000690,8,56.285714285714285,at-risk
INV000691,6,66.4,at-risk
INV000698,9,52.25,at-risk
INV000699,6,42.8,at-risk
INV000701,7,83.66666666666667,at-risk
INV000707,9,34.375,regular
INV000709,7,65.16666666666667,at-risk
INV000710,6,88.6,at-risk
INV000714,9,37.0,at-risk
INV000718,7,57.833333333333336,at-risk
INV000719,7,72.83333333333333,at-risk
INV000724,6,81.2,at-risk
INV000725,7,67.66666666666667,at-risk
INV000734,8,64.0,at-risk
INV000737,6,92.6,at-risk
INV000747,6,84.6,at-risk
INV000750,9,26.5,regular
INV000751,9,53.0,at-risk
INV000754,7,72.33333333333333,at-risk
INV000759,7,83.0,at-risk
INV000761,7,75.16666666666667,at-risk
INV000768,8,60.0,at-risk
INV000772,6,46.0,at-risk
INV000774,7,73.66666666666667,at-risk
INV000776,8,59.42857142857143,at-risk
INV000777,6,66.0,at-risk
INV000778,8,59.714285714285715,at-risk
INV000779,6,75.0,at-risk
INV000783,6,89.8,at-risk
INV000785,6,32.6,regular
INV000786,9,64.125,at-risk
INV000789,8,55.142857142857146,at-risk
INV000793,8,69.14285714285714,at-risk
INV000803,7,77.16666666666667,at-risk
INV000814,6,94.0,at-risk
INV000822,7,55.5,at-risk
INV000823,7,39.666666666666664,at-risk
INV000827,8,58.285714285714285,at-risk
INV000830,6,72.2,at-risk
INV000833,8,67.28571428571429,at-risk
INV000836,6,84.8,at-risk
INV000843,6,55.6,at-risk
INV000844,7,66.16666666666667,at-risk
