amfi_code,date,nav
119551,2022-01-03,543856.0
119551,2022-01-04,543474.0
119551,2022-01-05,546869.0
119551,2022-01-06,55455.0
119551,2022-01-07,553692.0
119551,2022-01-10,552835.0
119551,2022-01-11,560878.0
119551,2022-01-12,564978.0
119551,2022-01-13,562934.0
119551,2022-01-14,565926.0
119551,2022-01-17,563908.0
119551,2022-01-18,561887.0
119551,2022-01-19,563378.0
119551,2022-01-20,554237.0
119551,2022-01-21,546151.0
119551,2022-01-24,54373.0
119551,2022-01-25,539173.0
119551,2022-01-26,540948.0
119551,2022-01-27,536911.0
119551,2022-01-28,530538.0
119551,2022-01-31,537718.0
119551,2022-02-01,536925.0
119551,2022-02-02,537522.0
119551,2022-02-03,531084.0
119551,2022-02-04,528813.0
119551,2022-02-07,529604.0
119551,2022-02-08,524526.0
119551,2022-02-09,526538.0
119551,2022-02-10,524027.0
119551,2022-02-11,52295.0
119551,2022-02-14,520451.0
119551,2022-02-15,529295.0
119551,2022-02-16,529506.0
119551,2022-02-17,52486.0
119551,2022-02-18,528954.0
119551,2022-02-21,523559.0
119551,2022-02-22,524795.0
119551,2022-02-23,51607.0
119551,2022-02-24,510323.0
119551,2022-02-25,511474.0
119551,2022-02-28,515081.0
119551,2022-03-01,516126.0
119551,2022-03-02,515866.0
119551,2022-03-03,514764.0
119551,2022-03-04,508357.0
119551,2022-03-07,505401.0
119551,2022-03-08,503612.0
119551,2022-03-09,508591.0
119551,2022-03-10,510398.0
119551,2022-03-11,502783.0
119551,2022-03-14,504482.0
119551,2022-03-15,503031.0
119551,2022-03-16,500295.0
119551,2022-03-17,503261.0
119551,2022-03-18,508119.0
119551,2022-03-21,512574.0
119551,2022-03-22,509057.0
119551,2022-03-23,507933.0
119551,2022-03-24,509682.0
119551,2022-03-25,514351.0
119551,2022-03-28,512446.0
119551,2022-03-29,511872.0
119551,2022-03-30,507163.0
119551,2022-03-31,50.21
119551,2022-04-01,505972.0
119551,2022-04-04,512324.0
119551,2022-04-05,512263.0
119551,2022-04-06,517084.0
119551,2022-04-07,519003.0
119551,2022-04-08,516325.0
119551,2022-04-11,518241.0
119551,2022-04-12,525589.0
119551,2022-04-13,525694.0
119551,2022-04-14,533273.0
119551,2022-04-15,521363.0
119551,2022-04-18,525427.0
119551,2022-04-19,526102.0
119551,2022-04-20,524987.0
119551,2022-04-21,525683.0
119551,2022-04-22,516815.0
119551,2022-04-25,516081.0
119551,2022-04-26,517976.0
119551,2022-04-27,525042.0
119551,2022-04-28,522918.0
119551,2022-04-29,51947.0
119551,2022-05-02,517444.0
119551,2022-05-03,521907.0
119551,2022-05-04,523692.0
119551,2022-05-05,52152.0
119551,2022-05-06,524157.0
119551,2022-05-09,524876.0
119551,2022-05-10,529653.0
119551,2022-05-11,526655.0
119551,2022-05-12,525406.0
119551,2022-05-13,523863.0
119551,2022-05-16,517412.0
119551,2022-05-17,519032.0
119551,2022-05-18,520497.0
119551,2022-05-19,520789.0
119551,2022-05-20,519981.0
119551,2022-05-23,513796.0
119551,2022-05-24,512157.0
119551,2022-05-25,510875.0
119551,2022-05-26,507535.0
119551,2022-05-27,507075.0
119551,2022-05-30,509148.0
119551,2022-05-31,517955.0
119551,2022-06-01,519021.0
119551,2022-06-02,52047.0
119551,2022-06-03,520396.0
119551,2022-06-06,511928.0
119551,2022-06-07,512073.0
119551,2022-06-08,512609.0
119551,2022-06-09,524137.0
119551,2022-06-10,523519.0
119551,2022-06-13,525184.0
119551,2022-06-14,525294.0
119551,2022-06-15,520176.0
119551,2022-06-16,525716.0
119551,2022-06-17,529487.0
119551,2022-06-20,533469.0
119551,2022-06-21,529481.0
119551,2022-06-22,536349.0
119551,2022-06-23,530032.0
119551,2022-06-24,533057.0
119551,2022-06-27,543735.0
119551,2022-06-28,539284.0
119551,2022-06-29,536874.0
119551,2022-06-30,537624.0
119551,2022-07-01,535518.0
119551,2022-07-04,528517.0
119551,2022-07-05,529109.0
119551,2022-07-06,524446.0
119551,2022-07-07,526913.0
119551,2022-07-08,522927.0
119551,2022-07-11,530398.0
119551,2022-07-12,527019.0
119551,2022-07-13,525795.0
119551,2022-07-14,529854.0
119551,2022-07-15,524404.0
119551,2022-07-18,525728.0
119551,2022-07-19,532098.0
119551,2022-07-20,524879.0
119551,2022-07-21,526005.0
119551,2022-07-22,527484.0
119551,2022-07-25,531408.0
119551,2022-07-26,525914.0
119551,2022-07-27,520093.0
119551,2022-07-28,522762.0
119551,2022-07-29,524404.0
119551,2022-08-01,525835.0
119551,2022-08-02,527716.0
119551,2022-08-03,524831.0
119551,2022-08-04,526179.0
119551,2022-08-05,527813.0
119551,2022-08-08,524768.0
119551,2022-08-09,53375.0
119551,2022-08-10,536262.0
119551,2022-08-11,530931.0
119551,2022-08-12,53429.0
119551,2022-08-15,52999.0
119551,2022-08-16,533957.0
119551,2022-08-17,539719.0
119551,2022-08-18,536103.0
119551,2022-08-19,540957.0
119551,2022-08-22,54321.0
119551,2022-08-23,547445.0
119551,2022-08-24,556967.0
119551,2022-08-25,556049.0
119551,2022-08-26,55265.0
119551,2022-08-29,548615.0
119551,2022-08-30,544963.0
119551,2022-08-31,544873.0
119551,2022-09-01,546797.0
119551,2022-09-02,548416.0
119551,2022-09-05,552716.0
119551,2022-09-06,553065.0
119551,2022-09-07,560489.0
119551,2022-09-08,559471.0
119551,2022-09-09,573351.0
119551,2022-09-12,576821.0
119551,2022-09-13,572772.0
119551,2022-09-14,567681.0
119551,2022-09-15,570396.0
119551,2022-09-16,569566.0
119551,2022-09-19,57346.0
119551,2022-09-20,576156.0
119551,2022-09-21,576083.0
119551,2022-09-22,572092.0
119551,2022-09-23,564791.0
119551,2022-09-26,562861.0
119551,2022-09-27,567421.0
119551,2022-09-28,568787.0
119551,2022-09-29,562863.0
119551,2022-09-30,564014.0
119551,2022-10-03,566226.0
119551,2022-10-04,562119.0
119551,2022-10-05,563172.0
119551,2022-10-06,563752.0
119551,2022-10-07,558386.0
119551,2022-10-10,56044.0
119551,2022-10-11,563509.0
119551,2022-10-12,569211.0
119551,2022-10-13,574822.0
119551,2022-10-14,568173.0
119551,2022-10-17,563784.0
119551,2022-10-18,566643.0
119551,2022-10-19,56951.0
119551,2022-10-20,572398.0
119551,2022-10-21,592487.0
119551,2022-10-24,595784.0
119551,2022-10-25,602091.0
119551,2022-10-26,607492.0
119551,2022-10-27,611307.0
119551,2022-10-28,609924.0
119551,2022-10-31,614337.0
119551,2022-11-01,610479.0
119551,2022-11-02,60952.0
119551,2022-11-03,60723.0
119551,2022-11-04,607982.0
119551,2022-11-07,620841.0
119551,2022-11-08,611016.0
119551,2022-11-09,615042.0
119551,2022-11-10,606669.0
119551,2022-11-11,604461.0
119551,2022-11-14,610609.0
119551,2022-11-15,611271.0
119551,2022-11-16,605801.0
119551,2022-11-17,602302.0
119551,2022-11-18,606235.0
119551,2022-11-21,602653.0
119551,2022-11-22,604117.0
119551,2022-11-23,604671.0
119551,2022-11-24,601517.0
119551,2022-11-25,613315.0
119551,2022-11-28,617071.0
119551,2022-11-29,606461.0
119551,2022-11-30,607772.0
119551,2022-12-01,604547.0
119551,2022-12-02,609424.0
119551,2022-12-05,605491.0
119551,2022-12-06,605191.0
119551,2022-12-07,608206.0
119551,2022-12-08,613184.0
119551,2022-12-09,60704.0
119551,2022-12-12,605564.0
119551,2022-12-13,603344.0
119551,2022-12-14,600187.0
119551,2022-12-15,60992.0
119551,2022-12-16,612418.0
119551,2022-12-19,605958.0
119551,2022-12-20,611198.0
119551,2022-12-21,623067.0
