amfi_code,date,nav
119551,2022-01-03,"543,856"
119551,2022-01-04,"543,474"
119551,2022-01-05,"546,869"
119551,2022-01-06,"55,455"
119551,2022-01-07,"553,692"
119551,2022-01-10,"552,835"
119551,2022-01-11,"560,878"
119551,2022-01-12,"564,978"
119551,2022-01-13,"562,934"
119551,2022-01-14,"565,926"
119551,2022-01-17,"563,908"
119551,2022-01-18,"561,887"
119551,2022-01-19,"563,378"
119551,2022-01-20,"554,237"
119551,2022-01-21,"546,151"
119551,2022-01-24,"54,373"
119551,2022-01-25,"539,173"
119551,2022-01-26,"540,948"
119551,2022-01-27,"536,911"
119551,2022-01-28,"530,538"
119551,2022-01-31,"537,718"
119551,2022-02-01,"536,925"
119551,2022-02-02,"537,522"
119551,2022-02-03,"531,084"
119551,2022-02-04,"528,813"
119551,2022-02-07,"529,604"
119551,2022-02-08,"524,526"
119551,2022-02-09,"526,538"
119551,2022-02-10,"524,027"
119551,2022-02-11,"52,295"
119551,2022-02-14,"520,451"
119551,2022-02-15,"529,295"
119551,2022-02-16,"529,506"
119551,2022-02-17,"52,486"
119551,2022-02-18,"528,954"
119551,2022-02-21,"523,559"
119551,2022-02-22,"524,795"
119551,2022-02-23,"51,607"
119551,2022-02-24,"510,323"
119551,2022-02-25,"511,474"
119551,2022-02-28,"515,081"
119551,2022-03-01,"516,126"
119551,2022-03-02,"515,866"
119551,2022-03-03,"514,764"
119551,2022-03-04,"508,357"
119551,2022-03-07,"505,401"
119551,2022-03-08,"503,612"
119551,2022-03-09,"508,591"
119551,2022-03-10,"510,398"
119551,2022-03-11,"502,783"
119551,2022-03-14,"504,482"
119551,2022-03-15,"503,031"
119551,2022-03-16,"500,295"
119551,2022-03-17,"503,261"
119551,2022-03-18,"508,119"
119551,2022-03-21,"512,574"
119551,2022-03-22,"509,057"
119551,2022-03-23,"507,933"
119551,2022-03-24,"509,682"
119551,2022-03-25,"514,351"
119551,2022-03-28,"512,446"
119551,2022-03-29,"511,872"
119551,2022-03-30,"507,163"
119551,2022-03-31,50.21
