date,nav
2026-07-24,99.32730
2026-07-23,99.72940
2026-07-22,100.09970
2026-07-21,101.06690
2026-07-20,101.32290
2026-07-17,101.80200
2026-07-16,101.05860
2026-07-15,101.02310
2026-07-14,100.53260
2026-07-13,101.24950
2026-07-10,101.32030
2026-07-09,100.30860
2026-07-08,99.81000
2026-07-07,101.93210
2026-07-06,102.12670
2026-07-03,101.35990
2026-07-02,101.44420
2026-07-01,100.89650
2026-06-30,100.48280
2026-06-29,100.71840
2026-06-25,101.19170
2026-06-24,101.03870
2026-06-23,100.46050
2026-06-22,101.36540
2026-06-19,100.78240
2026-06-18,100.99010
2026-06-17,100.60400
2026-06-16,100.00480
2026-06-15,99.35060
2026-06-12,98.17760
2026-06-11,96.17120
2026-06-10,96.58620
2026-06-09,96.68490
2026-06-08,95.89520
2026-06-05,97.24560
2026-06-04,97.26210
2026-06-03,97.21670
2026-06-02,97.47830
2026-06-01,97.19440
2026-05-29,98.46560
2026-05-27,99.80920
2026-05-26,99.43560
2026-05-25,99.80470
2026-05-22,98.74970
2026-05-21,98.37810
2026-05-20,98.39330
2026-05-19,98.12890
2026-05-18,97.93720
2026-05-15,98.00590
2026-05-14,98.06060
2026-05-13,97.16900
2026-05-12,97.18460
2026-05-11,99.20070
2026-05-08,100.49810
2026-05-07,101.29170
2026-05-06,101.17250
2026-05-05,99.90720
2026-05-04,100.09320
2026-04-30,99.55020
2026-04-29,100.39280
2026-04-28,99.97820
2026-04-27,100.60930
2026-04-24,99.76000
2026-04-23,100.80160
2026-04-22,101.58030
2026-04-21,101.96450
2026-04-20,100.95660
2026-04-17,100.79030
2026-04-16,99.92630
2026-04-15,99.88430
2026-04-13,98.18510
2026-04-10,98.88860
2026-04-09,97.49480
2026-04-08,98.18610
2026-04-07,94.75840
2026-04-06,94.35300
2026-04-02,93.23610
2026-04-01,92.92110
2026-03-31,91.45390
2026-03-30,91.45500
2026-03-27,93.57900
2026-03-25,95.62170
2026-03-24,93.83540
2026-03-23,92.15230
2026-03-20,94.82760
2026-03-19,94.54580
2026-03-18,97.54880
2026-03-17,96.61460
2026-03-16,95.94410
2026-03-13,95.18440
2026-03-12,97.31000
2026-03-11,98.11390
2026-03-10,99.47250
2026-03-09,98.28950
2026-03-06,100.08290
2026-03-05,101.14220
2026-03-04,99.95100
2026-03-02,101.85410
2026-02-27,103.30520
2026-02-26,104.50750
2026-02-25,104.46410
2026-02-24,103.95640
2026-02-23,104.82030
2026-02-20,104.23510
2026-02-19,103.59180
2026-02-18,105.25590
2026-02-17,104.70840
2026-02-16,104.53610
2026-02-13,103.81480
2026-02-12,104.99220
2026-02-11,105.54260
2026-02-10,105.35720
2026-02-09,104.89980
2026-02-06,103.92040
2026-02-05,103.75900
2026-02-04,104.07640
2026-02-03,103.85380
2026-02-02,101.24560
2026-01-30,102.23550
2026-01-29,102.39490
2026-01-28,101.84160
2026-01-27,100.89520
2026-01-23,100.51270
2026-01-22,101.53930
2026-01-21,100.89630
2026-01-20,101.29080
2026-01-19,102.92260
2026-01-16,103.21360
2026-01-14,103.31770
2026-01-13,103.37350
2026-01-12,103.62180
2026-01-09,103.46540
2026-01-08,104.33270
2026-01-07,105.60780
2026-01-06,105.70060
2026-01-05,105.71090
2026-01-02,106.12720
2026-01-01,105.40010
2025-12-31,105.34210
2025-12-30,104.59350
2025-12-29,104.71880
2025-12-26,104.99120
2025-12-24,105.35480
2025-12-23,105.53810
2025-12-22,105.33800
2025-12-19,104.74950
2025-12-18,104.06780
2025-12-17,104.19180
2025-12-16,104.47820
2025-12-15,105.18210
2025-12-12,105.27380
2025-12-11,104.65900
2025-12-10,104.01400
2025-12-09,104.26350
2025-12-08,104.37210
2025-12-05,105.41420
2025-12-04,105.04260
2025-12-03,105.02140
2025-12-02,105.23670
2025-12-01,105.53890
2025-11-28,105.68440
2025-11-27,105.68400
2025-11-26,105.57550
2025-11-25,104.17120
2025-11-24,104.32300
2025-11-21,104.86640
2025-11-20,105.60470
2025-11-19,105.13920
2025-11-18,104.60870
2025-11-17,105.12030
2025-11-14,104.68640
2025-11-13,104.66240
2025-11-12,104.68290
2025-11-11,104.12420
2025-11-10,103.89120
2025-11-07,103.67120
2025-11-06,103.66830
2025-11-04,104.29600
2025-11-03,104.84940
2025-10-31,104.51020
2025-10-30,105.23760
2025-10-29,105.79850
2025-10-28,105.14300
2025-10-27,105.19740
2025-10-24,104.64410
2025-10-23,105.04290
2025-10-20,104.88000
2025-10-17,104.46730
2025-10-16,104.15940
2025-10-15,103.28250
2025-10-14,102.54390
2025-10-13,102.96800
2025-10-10,103.23600
2025-10-09,102.79680
2025-10-08,102.35640
2025-10-07,102.78830
2025-10-06,102.82960
2025-10-03,102.38350
2025-10-01,102.05810
2025-09-30,101.30000
2025-09-26,101.31250
2025-09-25,102.47420
2025-09-24,103.33380
2025-09-23,103.81340
2025-09-22,103.81050
2025-09-19,104.35090
2025-09-18,104.55310
2025-09-17,104.24380
2025-09-16,103.90140
2025-09-15,103.15000
2025-09-12,102.97640
2025-09-11,102.40330
2025-09-10,102.35120
2025-09-09,101.96770
2025-09-08,101.67650
2025-09-05,101.55170
2025-09-04,101.49650
2025-09-03,101.59090
2025-09-02,100.99070
2025-09-01,101.16640
2025-08-29,100.34960
2025-08-28,100.55230
2025-08-26,101.34000
2025-08-25,102.33870
2025-08-22,102.05200
2025-08-21,102.72800
2025-08-20,102.65580
2025-08-19,102.24210
2025-08-18,101.68670
2025-08-14,100.57410
2025-08-13,100.59140
2025-08-12,99.75360
2025-08-11,99.91600
2025-08-08,98.98840
2025-08-07,99.90910
2025-08-06,99.78860
2025-08-05,100.11120
2025-08-04,100.27790
2025-08-01,99.91130
2025-07-31,100.59410
2025-07-30,100.68860
2025-07-29,100.21010
2025-07-28,99.69810
2025-07-25,100.25980
2025-07-24,101.32810
2025-07-23,101.78940
2025-07-22,101.32720
2025-07-21,101.37350
2025-07-18,100.92860
2025-07-17,101.43180
2025-07-16,101.62300
2025-07-15,101.41680
2025-07-14,101.05870
2025-07-11,101.26860
2025-07-10,101.79900
2025-07-09,102.03900
2025-07-08,102.03640
2025-07-07,101.75400
2025-07-04,101.78830
2025-07-03,101.52310
2025-07-02,101.83910
2025-07-01,102.27380
2025-06-30,102.35010
2025-06-27,102.61480
2025-06-26,102.14580
2025-06-25,101.24390
2025-06-24,100.53250
2025-06-23,99.91290
2025-06-20,100.40750
2025-06-19,99.31230
2025-06-18,99.74480
2025-06-17,99.79990
2025-06-16,100.08180
2025-06-13,99.35280
2025-06-12,100.04530
2025-06-11,101.31510
2025-06-10,101.22560
2025-06-09,101.34810
2025-06-06,100.62690
2025-06-05,99.66170
2025-06-04,99.15510
2025-06-03,98.71610
2025-06-02,99.27360
2025-05-30,99.16110
2025-05-29,99.43410
2025-05-28,99.11180
2025-05-27,99.24310
2025-05-26,99.65360
2025-05-23,98.86110
2025-05-22,97.91010
2025-05-21,98.60380
2025-05-20,97.91130
2025-05-19,99.13250
2025-05-16,99.22250
2025-05-15,98.94530
2025-05-14,97.64730
2025-05-13,97.05400
2025-05-12,97.90990
2025-05-09,94.34820
2025-05-08,95.14870
2025-05-07,96.02080
2025-05-06,95.56480
2025-05-05,96.55520
2025-05-02,95.93890
2025-04-30,95.81470
2025-04-29,96.09290
2025-04-28,96.02820
2025-04-25,94.88440
2025-04-24,96.05970
2025-04-23,96.17080
2025-04-22,95.62040
2025-04-21,95.38690
2025-04-17,94.10550
2025-04-16,92.89830
2025-04-15,92.32680
2025-04-11,90.06930
2025-04-09,88.64100
2025-04-08,89.24090
2025-04-07,87.78020
2025-04-04,90.43330
2025-04-03,92.22430
2025-04-02,92.41650
2025-04-01,91.66290
2025-03-31,92.87020
2025-03-28,92.87350
2025-03-27,93.38840
2025-03-26,92.65700
2025-03-25,93.51580
2025-03-24,93.81230
2025-03-21,92.54300
2025-03-20,91.67670
2025-03-19,90.97110
2025-03-18,90.25440
2025-03-17,88.67460
2025-03-13,88.06560
2025-03-12,88.37380
2025-03-11,88.50420
2025-03-10,88.58790
2025-03-07,89.11950
2025-03-06,89.17400
2025-03-05,88.25350
2025-03-04,87.16430
2025-03-03,86.98300
2025-02-28,86.92220
2025-02-27,88.43210
2025-02-25,88.76050
2025-02-24,88.93340
2025-02-21,89.84950
2025-02-20,90.34890
2025-02-19,90.04040
2025-02-18,89.53540
2025-02-17,89.56930
2025-02-14,89.57410
2025-02-13,90.36840
2025-02-12,90.34080
2025-02-11,90.54430
2025-02-10,92.17730
2025-02-07,93.31900
2025-02-06,93.48960
2025-02-05,93.88830
2025-02-04,93.92310
2025-02-03,92.42370
2025-01-31,92.87720
2025-01-30,91.73790
2025-01-29,91.46880
2025-01-28,90.22270
2025-01-27,89.96940
2025-01-24,91.45880
2025-01-23,92.26670
2025-01-22,91.92290
2025-01-21,91.90080
2025-01-20,93.63390
2025-01-17,93.41580
2025-01-16,93.57640
2025-01-15,92.94630
2025-01-14,92.59510
2025-01-13,91.92200
2025-01-10,93.72710
2025-01-09,94.58100
2025-01-08,95.41380
2025-01-07,95.74360
2025-01-06,95.32660
2025-01-03,97.16710
2025-01-02,97.56810
2025-01-01,96.11130
2024-12-31,95.69320
2024-12-30,95.67770
2024-12-27,96.18190
2024-12-26,96.19010
2024-12-24,96.14670
2024-12-23,96.16940
