date,nav
2026-07-24,106.59610
2026-07-23,106.58510
2026-07-22,106.61070
2026-07-21,106.65670
2026-07-20,106.57370
2026-07-17,106.60010
2026-07-16,106.58290
2026-07-15,106.51160
2026-07-14,106.46090
2026-07-13,106.70260
2026-07-10,106.69460
2026-07-09,106.57760
2026-07-08,106.55870
2026-07-07,106.79770
2026-07-06,106.84310
2026-07-03,106.80420
2026-07-02,106.77210
2026-07-01,106.64510
2026-06-30,106.62250
2026-06-29,106.46480
2026-06-25,106.30570
2026-06-24,106.12680
2026-06-23,106.04100
2026-06-22,105.98500
2026-06-19,105.92190
2026-06-18,105.90030
2026-06-17,105.84820
2026-06-16,105.84550
2026-06-15,105.81250
2026-06-12,105.68640
2026-06-11,105.57370
2026-06-10,105.65690
2026-06-09,105.57930
2026-06-08,105.30840
2026-06-05,105.10700
2026-06-04,104.80950
2026-06-03,104.74960
2026-06-02,104.76630
2026-06-01,104.70250
2026-05-29,104.65700
2026-05-27,104.58330
2026-05-26,104.52690
2026-05-25,104.52150
2026-05-22,104.34670
2026-05-21,104.28500
2026-05-20,104.38260
2026-05-19,104.42160
2026-05-18,104.37910
2026-05-15,104.59680
2026-05-14,104.73180
2026-05-13,104.73710
2026-05-12,104.75850
2026-05-11,104.80530
2026-05-08,104.86960
2026-05-07,104.87620
2026-05-06,104.80430
2026-05-05,104.61660
2026-05-04,104.65440
2026-04-30,104.57060
2026-04-29,104.65940
2026-04-28,104.74280
2026-04-27,104.77710
2026-04-24,104.70910
2026-04-23,104.76520
2026-04-22,104.84730
2026-04-21,104.84700
2026-04-20,104.83690
2026-04-17,104.78210
2026-04-16,104.79590
2026-04-15,104.79010
2026-04-13,104.61130
2026-04-10,104.59560
2026-04-09,104.51500
2026-04-08,104.39190
2026-04-07,103.99180
2026-04-06,103.91420
2026-04-02,103.88130
2026-03-31,104.01160
2026-03-30,103.99210
2026-03-27,103.91020
2026-03-25,103.97130
2026-03-24,103.98160
2026-03-23,110.66250
2026-03-20,110.93520
2026-03-18,110.99850
2026-03-17,110.93160
2026-03-16,110.91590
2026-03-13,110.92870
2026-03-12,110.98980
2026-03-11,111.10720
2026-03-10,111.04840
2026-03-09,110.91930
2026-03-06,111.03950
2026-03-05,111.05340
2026-03-04,110.94990
2026-03-02,111.06530
2026-02-27,111.02610
2026-02-26,111.00690
2026-02-25,110.98260
2026-02-24,110.93940
2026-02-23,110.88290
2026-02-20,110.80700
2026-02-18,110.86130
2026-02-17,110.86820
2026-02-16,110.84090
2026-02-13,110.75840
2026-02-12,110.63090
2026-02-11,110.50560
2026-02-10,110.42930
2026-02-09,110.42330
2026-02-06,110.41730
2026-02-05,110.59850
2026-02-04,110.44770
2026-02-03,110.29600
2026-02-02,110.15370
2026-01-30,110.19030
2026-01-29,110.09220
2026-01-28,110.08550
2026-01-27,110.10780
2026-01-23,110.07660
2026-01-22,110.05390
2026-01-21,109.94380
2026-01-20,109.93850
2026-01-19,109.97420
2026-01-16,110.01070
2026-01-14,110.12860
2026-01-13,110.18780
2026-01-12,110.29740
2026-01-09,110.23270
2026-01-08,110.22180
2026-01-07,110.21750
2026-01-06,110.26470
2026-01-05,110.24980
2026-01-02,110.33330
2026-01-01,110.34930
2025-12-31,110.32120
2025-12-30,110.21760
2025-12-29,110.27990
2025-12-26,110.22470
2025-12-24,110.20790
2025-12-23,109.99540
2025-12-22,110.02410
2025-12-19,110.04030
2025-12-18,110.01950
2025-12-17,110.02660
2025-12-16,110.02610
2025-12-15,109.99440
2025-12-12,110.06520
2025-12-11,110.06090
2025-12-10,110.04660
2025-12-09,110.18520
2025-12-08,110.32990
2025-12-05,110.33730
2025-12-04,110.23500
2025-12-03,110.23620
2025-12-02,110.23490
2025-12-01,110.21100
2025-11-28,110.26150
2025-11-27,110.27430
2025-11-26,110.26580
2025-11-25,110.19240
2025-11-24,110.13220
2025-11-21,110.07080
2025-11-20,110.08820
2025-11-19,110.07710
2025-11-18,110.02050
2025-11-17,109.97560
2025-11-14,109.97250
2025-11-13,109.99070
2025-11-12,109.99470
2025-11-11,109.96100
2025-11-10,109.92500
2025-11-07,109.86090
2025-11-06,109.83370
2025-11-04,109.79410
2025-11-03,109.75480
2025-10-31,109.67680
2025-10-30,109.65210
2025-10-29,109.69340
2025-10-28,109.64040
2025-10-27,109.61250
2025-10-24,109.56730
2025-10-23,109.58170
2025-10-20,109.61550
2025-10-17,109.58440
2025-10-16,109.51310
2025-10-15,109.47540
2025-10-14,109.40880
2025-10-13,109.37630
2025-10-10,109.28520
2025-10-09,109.25970
2025-10-08,109.25240
2025-10-07,109.20450
2025-10-06,109.09260
2025-10-03,108.95910
2025-10-01,108.82850
2025-09-30,108.73970
2025-09-26,108.67020
2025-09-25,108.61700
2025-09-24,108.58590
2025-09-23,108.57080
2025-09-22,108.51310
2025-09-19,108.44280
2025-09-18,108.45520
2025-09-17,108.45380
2025-09-16,108.37870
2025-09-15,108.38020
2025-09-12,108.40060
2025-09-11,108.36900
2025-09-10,108.35740
2025-09-09,108.35190
2025-09-05,108.24500
2025-09-04,108.13790
2025-09-03,108.04710
2025-09-02,108.00880
2025-09-01,108.03730
2025-08-29,108.02970
2025-08-28,108.06600
2025-08-26,107.92660
2025-08-25,108.10370
2025-08-22,108.10960
2025-08-21,108.09850
2025-08-20,108.08990
2025-08-19,108.00830
2025-08-18,108.12710
2025-08-14,108.15430
2025-08-13,107.99010
2025-08-12,108.04900
2025-08-11,108.20180
2025-08-08,108.27260
2025-08-07,108.26110
2025-08-06,108.21530
2025-08-05,108.44120
2025-08-04,108.43550
2025-08-01,108.29520
2025-07-31,108.21670
2025-07-30,108.17570
2025-07-29,108.18280
2025-07-28,108.21930
2025-07-25,108.19820
2025-07-24,108.25730
2025-07-23,108.22770
2025-07-22,108.19790
2025-07-21,108.17290
2025-07-18,108.11610
2025-07-17,108.02720
2025-07-16,107.96580
2025-07-15,107.96200
2025-07-14,107.96170
2025-07-11,107.91250
2025-07-10,107.89280
2025-07-09,107.89240
2025-07-08,107.91980
2025-07-07,107.92430
2025-07-04,107.84660
2025-07-03,107.85520
2025-07-02,107.76770
2025-07-01,107.66240
2025-06-30,107.57670
2025-06-27,107.48780
2025-06-26,107.50110
2025-06-25,107.51100
2025-06-24,107.57330
2025-06-23,107.45770
2025-06-20,107.43840
2025-06-19,107.44650
2025-06-18,107.57160
2025-06-17,107.56440
2025-06-16,107.43870
2025-06-13,107.35750
2025-06-12,107.48250
2025-06-11,107.54390
2025-06-10,107.64210
2025-06-09,107.88600
2025-06-06,108.00920
2025-06-05,107.78120
2025-06-04,107.74690
2025-06-03,107.73450
2025-06-02,107.71030
2025-05-30,107.65700
2025-05-29,107.68830
2025-05-28,107.68220
2025-05-27,107.63290
2025-05-26,107.62180
2025-05-23,107.55340
2025-05-22,107.51930
2025-05-21,107.48780
2025-05-20,107.28670
2025-05-19,107.17660
2025-05-16,107.06880
2025-05-15,106.90550
2025-05-14,106.79010
2025-05-13,106.66610
2025-05-09,106.27890
2025-05-08,106.34660
2025-05-07,106.55850
2025-05-06,106.50850
2025-05-05,106.54510
2025-05-02,106.45730
2025-04-30,106.42720
2025-04-29,106.42310
2025-04-28,106.34220
2025-04-25,106.29280
2025-04-24,106.34310
2025-04-23,106.35570
2025-04-22,106.28670
2025-04-21,106.19590
2025-04-17,106.03930
2025-04-16,105.91380
2025-04-15,105.82560
2025-04-11,105.71660
2025-04-09,105.59500
2025-04-08,105.47980
