date,nav
2026-07-24,108.04840
2026-07-23,108.58630
2026-07-22,109.22790
2026-07-21,110.18590
2026-07-20,109.88950
2026-07-17,109.85820
2026-07-16,109.28670
2026-07-15,109.67750
2026-07-14,109.01880
2026-07-13,109.60500
2026-07-10,109.79690
2026-07-09,108.73620
2026-07-08,107.95980
2026-07-07,110.09970
2026-07-06,110.25320
2026-07-03,109.36720
2026-07-02,109.48830
2026-07-01,108.68950
2026-06-30,108.00880
2026-06-29,107.78040
2026-06-25,108.37580
2026-06-24,108.29440
2026-06-23,107.54210
2026-06-22,108.46810
2026-06-19,107.96360
2026-06-18,108.00810
2026-06-17,107.53480
2026-06-16,107.01400
2026-06-15,106.59770
2026-06-12,105.21240
2026-06-11,102.88080
2026-06-10,103.18730
2026-06-09,103.52590
2026-06-08,102.48450
2026-06-05,103.81020
2026-06-04,103.64210
2026-06-03,103.48090
2026-06-02,103.59590
2026-06-01,103.09480
2026-05-31,104.30830
2026-05-29,104.31290
2026-05-27,105.92960
2026-05-26,105.51150
2026-05-25,105.92170
2026-05-22,104.77080
2026-05-21,104.49150
2026-05-20,104.60460
2026-05-19,104.27670
2026-05-18,104.15560
2026-05-15,104.29180
2026-05-14,104.55310
2026-05-13,103.39600
2026-05-12,103.33840
2026-05-11,105.60660
2026-05-08,107.15000
2026-05-07,107.67290
2026-05-06,107.33540
2026-05-05,105.83870
2026-05-04,105.74490
2026-04-30,105.28450
2026-04-29,106.06980
2026-04-28,105.62120
2026-04-27,106.05280
2026-04-24,105.09280
2026-04-23,106.13010
2026-04-22,106.82990
2026-04-21,107.24340
2026-04-20,106.20630
2026-04-17,105.98260
2026-04-16,105.11700
2026-04-15,104.92590
2026-04-13,103.23030
2026-04-10,104.13480
2026-04-09,102.54940
2026-04-08,103.28330
2026-04-07,99.38760
2026-04-06,98.80140
2026-04-02,97.52000
2026-04-01,97.71840
2026-03-31,96.27530
2026-03-30,96.27680
2026-03-27,98.67390
2026-03-25,100.73190
2026-03-24,98.65970
2026-03-23,96.71300
2026-03-20,99.61420
2026-03-19,99.15970
2026-03-18,102.45920
2026-03-17,101.24960
2026-03-16,100.39600
2026-03-13,99.71110
2026-03-12,101.97180
2026-03-11,102.97760
2026-03-10,104.75930
2026-03-09,103.38820
2026-03-06,105.40500
2026-03-05,106.72970
2026-03-04,105.49280
2026-03-02,107.52310
2026-02-28,108.93250
2026-02-27,108.93450
2026-02-26,110.29450
2026-02-25,109.92930
2026-02-24,109.36810
2026-02-23,110.29100
2026-02-20,109.52730
2026-02-19,109.00910
2026-02-18,110.63030
2026-02-17,110.08060
2026-02-16,109.84440
2026-02-13,109.34090
2026-02-12,110.53650
2026-02-11,110.83920
2026-02-10,110.65190
2026-02-09,110.38450
2026-02-06,109.17560
2026-02-05,109.01370
2026-02-04,109.28800
2026-02-03,109.09550
2026-02-02,106.15960
2026-01-31,107.18970
2026-01-30,107.19180
2026-01-29,107.17590
2026-01-28,107.02960
2026-01-27,105.94500
2026-01-23,105.71710
2026-01-22,106.87140
2026-01-21,106.07310
2026-01-20,106.50560
2026-01-19,108.36170
2026-01-16,108.64460
2026-01-14,108.50480
2026-01-13,108.84250
2026-01-12,108.89310
2026-01-09,108.84980
2026-01-08,110.05730
2026-01-07,111.31060
2026-01-06,111.24920
2026-01-05,111.18020
2026-01-02,111.53570
2026-01-01,110.55160
2025-12-31,110.24190
2025-12-30,109.55060
2025-12-29,109.82110
2025-12-26,110.26660
2025-12-24,110.64850
2025-12-23,110.85200
2025-12-22,110.78620
2025-12-19,110.15340
2025-12-18,109.25320
2025-12-17,109.30910
2025-12-16,109.73920
2025-12-15,110.35820
2025-12-12,110.51900
2025-12-11,109.77620
2025-12-10,109.08860
2025-12-09,109.70350
2025-12-08,109.61410
2025-12-05,111.14870
2025-12-04,110.84860
2025-12-03,110.78130
2025-12-02,111.26770
2025-12-01,111.63650
2025-11-30,111.83110
2025-11-28,111.83570
2025-11-27,111.81150
2025-11-26,111.83550
2025-11-25,110.56080
2025-11-24,110.66100
2025-11-21,111.19180
2025-11-20,112.07950
2025-11-19,111.70180
2025-11-18,111.17690
2025-11-17,111.79330
2025-11-14,111.20340
2025-11-13,111.42260
2025-11-12,111.57880
2025-11-11,111.16220
2025-11-10,110.97760
2025-11-07,110.44310
2025-11-06,110.44090
2025-11-04,111.40460
2025-11-03,111.79920
2025-10-31,111.09480
2025-10-30,111.86990
2025-10-29,112.40680
2025-10-28,111.90310
2025-10-27,112.27050
2025-10-24,111.65490
2025-10-23,111.85870
2025-10-20,111.90250
2025-10-17,111.74890
2025-10-16,111.53990
2025-10-15,110.73650
2025-10-14,109.66340
2025-10-13,109.95520
2025-10-10,109.95900
2025-10-09,109.58820
2025-10-08,109.06500
2025-10-07,109.32010
2025-10-06,108.93260
2025-10-03,108.13860
2025-10-01,107.82390
2025-09-30,107.31340
2025-09-26,107.22460
2025-09-25,108.91910
2025-09-24,109.76080
2025-09-23,110.34010
2025-09-22,110.71820
2025-09-19,111.23100
2025-09-18,111.53350
2025-09-17,111.23230
2025-09-16,110.80080
2025-09-15,110.15220
2025-09-12,110.08140
2025-09-11,109.74090
2025-09-10,109.72090
2025-09-09,109.20620
2025-09-08,108.96570
2025-09-05,108.75830
2025-09-04,108.92650
2025-09-03,108.76660
2025-09-02,108.20470
2025-09-01,108.34620
2025-08-31,107.12170
2025-08-29,107.12590
2025-08-28,107.47560
2025-08-26,108.71320
2025-08-25,109.92940
2025-08-22,109.65130
2025-08-21,110.11510
2025-08-20,110.01130
2025-08-19,109.57230
2025-08-18,109.04500
2025-08-14,107.84550
2025-08-13,107.76070
2025-08-12,106.92150
2025-08-11,107.38830
2025-08-08,106.52850
2025-08-07,107.80110
2025-08-06,107.50840
