date,nav
2026-07-24,249.27150
2026-07-23,248.75760
2026-07-22,250.03750
2026-07-21,255.40540
2026-07-20,255.15960
2026-07-17,254.19990
2026-07-16,254.06990
2026-07-15,253.68380
2026-07-14,252.64880
2026-07-13,253.79200
2026-07-10,252.75360
2026-07-09,250.21460
2026-07-08,246.67100
2026-07-07,250.00290
2026-07-06,250.93770
2026-07-03,251.33420
2026-07-02,251.50080
2026-07-01,250.44840
2026-06-30,250.95400
2026-06-29,250.64940
2026-06-25,249.31200
2026-06-24,249.84120
2026-06-23,249.98140
2026-06-22,252.06940
2026-06-19,251.57130
2026-06-18,249.15530
2026-06-17,246.39250
2026-06-16,245.24020
2026-06-15,244.62900
2026-06-12,244.72050
2026-06-11,240.58860
2026-06-10,241.91860
2026-06-09,244.23470
2026-06-08,242.15940
2026-06-05,246.08780
2026-06-04,246.07840
2026-06-03,245.65930
2026-06-02,246.85660
2026-06-01,246.98140
2026-05-29,248.66730
2026-05-27,251.22730
2026-05-26,251.27020
2026-05-25,249.22660
2026-05-22,247.80390
2026-05-21,248.88530
2026-05-20,244.71990
2026-05-19,241.67710
2026-05-18,241.26150
2026-05-15,242.09520
2026-05-14,243.53140
2026-05-13,240.07460
2026-05-12,238.15280
2026-05-11,242.72190
2026-05-08,244.62010
2026-05-07,245.60550
2026-05-06,245.38780
2026-05-05,242.95940
2026-05-04,242.76550
2026-04-30,240.53530
2026-04-29,242.34500
2026-04-28,242.62410
2026-04-27,241.25170
2026-04-24,238.14560
2026-04-23,239.75830
2026-04-22,238.57020
2026-04-21,236.45980
2026-04-20,235.19610
2026-04-17,236.21330
2026-04-16,233.31800
2026-04-15,231.54340
2026-04-13,226.98090
2026-04-10,228.69930
2026-04-09,224.62350
2026-04-08,224.59090
2026-04-07,217.96040
2026-04-06,217.64130
2026-04-02,216.27950
2026-04-01,216.76270
2026-03-31,212.35710
2026-03-30,212.35610
2026-03-27,215.97900
2026-03-25,218.68660
2026-03-24,214.91640
2026-03-23,210.11500
2026-03-20,215.88190
2026-03-19,214.08990
2026-03-18,219.40770
2026-03-17,215.87230
2026-03-16,213.40910
2026-03-13,212.78840
