date,nav
2026-07-24,204.85350
2026-07-23,205.55390
2026-07-22,207.67480
2026-07-21,210.09000
2026-07-20,209.44660
2026-07-17,208.91520
2026-07-16,208.76240
2026-07-15,209.45060
2026-07-14,207.37380
2026-07-13,208.15460
2026-07-10,208.35180
2026-07-09,206.81410
2026-07-08,204.40350
2026-07-07,206.40250
2026-07-06,207.39120
2026-07-03,207.34610
2026-07-02,208.53730
2026-07-01,206.47780
2026-06-30,206.83550
2026-06-29,205.10350
2026-06-25,203.91570
2026-06-24,205.06550
2026-06-23,203.54430
2026-06-22,204.12630
2026-06-19,202.07610
2026-06-18,200.95650
2026-06-17,199.83020
2026-06-16,198.61520
2026-06-15,198.03200
2026-06-12,196.55770
2026-06-11,192.67220
2026-06-10,193.43710
2026-06-09,194.38130
2026-06-08,191.90920
2026-06-05,194.75470
2026-06-04,194.52200
2026-06-03,194.08100
2026-06-02,193.12950
2026-06-01,192.31950
2026-05-31,193.68360
2026-05-29,193.68480
2026-05-27,195.05010
2026-05-26,194.22580
2026-05-25,193.55990
2026-05-22,192.12270
2026-05-21,191.75750
2026-05-20,189.86610
2026-05-19,189.55530
2026-05-18,187.91260
2026-05-15,190.24050
2026-05-14,189.93450
2026-05-13,190.46400
2026-05-12,190.61520
2026-05-11,195.58600
2026-05-08,196.88210
2026-05-07,197.47530
2026-05-06,196.00360
2026-05-05,194.56180
2026-05-04,195.44690
2026-04-30,193.41310
2026-04-29,194.15230
2026-04-28,193.48430
2026-04-27,193.83170
2026-04-24,191.04250
2026-04-23,193.03170
2026-04-22,194.19280
2026-04-21,192.63970
2026-04-20,191.05830
2026-04-17,190.52420
2026-04-16,188.33160
2026-04-15,187.27860
2026-04-13,184.34910
2026-04-10,184.69670
2026-04-09,181.24550
2026-04-08,180.57830
2026-04-07,174.83420
2026-04-06,174.91510
2026-04-02,173.84710
2026-04-01,173.78200
2026-03-31,169.37060
2026-03-30,169.37080
2026-03-27,172.47390
2026-03-25,175.42110
2026-03-24,172.00490
2026-03-23,169.10910
2026-03-20,174.62050
2026-03-19,173.90040
2026-03-18,177.49080
2026-03-17,174.06280
2026-03-16,173.81980
2026-03-13,173.97540
2026-03-12,177.98880
2026-03-11,178.38910
2026-03-10,178.84190
2026-03-09,175.77420
2026-03-06,178.97840
2026-03-05,179.32390
2026-03-04,177.99610
2026-03-02,181.31750
2026-02-28,184.75790
2026-02-27,184.75810
2026-02-26,186.09500
2026-02-25,186.04880
2026-02-24,186.20800
2026-02-23,187.57210
2026-02-20,186.22280
2026-02-19,186.66660
2026-02-18,188.21280
2026-02-17,187.64370
2026-02-16,185.84710
2026-02-13,187.23600
2026-02-12,189.60290
2026-02-11,189.74640
2026-02-10,189.01900
2026-02-09,188.46900
2026-02-06,184.62700
2026-02-05,185.69490
2026-02-04,186.77740
2026-02-03,186.70090
2026-02-02,180.54240
2026-01-31,183.30100
2026-01-30,183.30210
2026-01-29,179.94080
2026-01-28,181.08730
2026-01-27,179.55150
2026-01-23,179.80350
2026-01-22,182.75440
2026-01-21,181.53250
2026-01-20,181.83500
2026-01-19,185.40420
2026-01-16,186.97190
2026-01-14,187.33750
2026-01-13,187.65940
2026-01-12,186.18370
2026-01-09,187.09710
2026-01-08,190.16000
2026-01-07,193.31730
2026-01-06,193.70270
2026-01-05,194.37860
2026-01-02,194.57400
2026-01-01,193.64170
2025-12-31,193.77240
2025-12-30,191.95010
2025-12-29,192.54100
2025-12-26,192.59130
2025-12-24,193.28480
2025-12-23,193.26520
2025-12-22,192.25730
2025-12-19,191.11570
2025-12-18,189.54200
2025-12-17,190.06210
2025-12-16,191.31430
2025-12-15,193.13250
2025-12-12,192.33770
2025-12-11,191.49520
2025-12-10,191.25570
2025-12-09,191.35730
2025-12-08,190.15910
2025-12-05,193.14510
2025-12-04,193.45990
2025-12-03,194.33550
2025-12-02,194.43120
2025-12-01,195.36260
2025-11-30,194.97900
2025-11-28,194.97840
2025-11-27,195.14900
2025-11-26,195.85550
2025-11-25,194.20420
2025-11-24,193.90920
2025-11-21,194.25170
2025-11-20,196.07320
2025-11-19,196.52800
2025-11-18,196.94780
2025-11-17,197.92120
2025-11-14,197.06760
2025-11-13,196.54650
2025-11-12,196.88400
2025-11-11,196.44860
2025-11-10,196.24510
2025-11-07,197.31500
2025-11-06,197.80320
2025-11-04,200.46780
2025-11-03,200.97090
2025-10-31,199.82340
2025-10-30,200.51850
2025-10-29,201.03750
2025-10-28,200.63480
2025-10-27,199.79650
2025-10-24,198.41150
2025-10-23,198.75210
2025-10-20,197.52580
2025-10-17,197.10750
2025-10-16,196.95210
2025-10-15,194.70000
2025-10-14,193.39750
2025-10-13,194.53640
2025-10-10,195.11850
2025-10-09,195.03760
2025-10-08,195.85870
2025-10-07,196.42940
2025-10-06,196.54830
2025-10-03,196.29650
2025-10-01,195.08560
2025-09-30,193.88220
2025-09-26,194.09730
2025-09-25,197.34470
2025-09-24,198.88610
2025-09-23,199.45730
2025-09-22,200.25390
2025-09-19,201.30600
2025-09-18,201.54470
2025-09-17,201.82000
2025-09-16,201.17950
2025-09-15,200.09670
